date,num_hosp,num_icu_hosp,num_admits_hosp,num_deaths_from_hosp,num_deaths_from_home
5/1/21,120,43,17,1,0
5/2/21,107,44,12,1,2
5/3/21,107,44,11,1,1
5/4/21,104,46,13,0,2
5/5/21,103,45,19,2,1
5/6/21,97,37,15,0,1
5/7/21,95,36,17,0,0
5/8/21,97,36,15,0,1
5/9/21,93,31,12,0,1
5/10/21,101,31,21,1,1
5/11/21,93,32,20,0,0
5/12/21,100,39,17,1,0
5/13/21,106,39,20,0,2
5/14/21,103,37,16,1,1
5/15/21,92,37,13,1,0
5/16/21,81,31,4,0,2
5/17/21,77,29,7,2,2
5/18/21,73,28,12,0,2
5/19/21,83,28,19,1,0
5/20/21,88,29,20,0,1
5/21/21,83,28,14,1,0
5/22/21,86,28,14,1,0
5/23/21,90,30,13,1,0
5/24/21,83,25,14,0,1
5/25/21,87,27,16,1,1
5/26/21,88,36,12,1,1
5/27/21,82,34,11,0,2
5/28/21,81,33,19,1,0
5/29/21,81,33,13,1,0
5/30/21,73,32,6,5,0
5/31/21,68,30,7,0,0
6/1/21,76,28,16,2,0
6/2/21,70,30,6,0,0
6/3/21,70,32,12,0,0
6/4/21,72,30,13,1,1
6/5/21,68,29,9,0,0
6/6/21,71,28,8,1,0
6/7/21,70,30,10,3,0
6/8/21,74,33,14,1,0
6/9/21,76,32,11,0,0
6/10/21,80,36,13,1,0
6/11/21,79,36,11,0,0
6/12/21,75,36,11,0,0
6/13/21,72,33,6,1,0
6/14/21,64,32,2,1,0
6/15/21,64,31,9,0,2
6/16/21,63,31,6,1,0
6/17/21,62,30,7,2,1
6/18/21,58,26,9,0,0
6/19/21,55,27,7,1,1
6/20/21,57,23,10,2,0
6/21/21,57,23,7,0,0
6/22/21,64,24,13,0,0
6/23/21,59,26,9,0,0
6/24/21,52,25,5,0,0
6/25/21,51,27,14,0,0
6/26/21,50,23,4,0,0
6/27/21,45,23,7,0,0
6/28/21,50,23,8,0,0
6/29/21,52,25,9,2,0
6/30/21,48,21,7,1,0
7/1/21,47,21,8,0,0
7/2/21,47,22,9,0,0
7/3/21,59,24,18,2,0
7/4/21,55,24,5,0,0
7/5/21,67,26,19,0,0
7/6/21,74,26,14,1,0
7/7/21,83,31,24,0,0
7/8/21,79,34,11,1,2
7/9/21,81,36,13,1,1
7/10/21,90,39,20,0,0
7/11/21,90,41,14,1,0
7/12/21,107,44,27,2,0
7/13/21,116,49,24,1,0
7/14/21,129,47,29,1,0
7/15/21,144,49,25,0,0
7/16/21,162,58,38,3,0
